psraid,sample,int_date,lang,form,llitext1,qs1,live1,reg,oftvote,eminuse,intmob,home3nw,bbhome1f1,bbhome1f2,bbhome2,device1a,smart1,intfreq,device1b,device1c,device1d,act112,act124,act125,act135,act136,act127,act128,act129,sns2a,sns2b,sns2c,sns2d,sns2e,q1a,q1b,q1c,q1d,q1e,q1f,q1g,q1h,q2a,q2b,q2c,q2d,q2e,q2f,q3,q4,books1,books2a,books2b,books2c,q7a,q7b,q7c,q7d,q8a,q8b,q8c,q8d,libusea,libuseb,libusec,lib_frq,libst_frq,libapp_frq,libmob,libvisit,ebk_awr,ebk_brw,q9a,q9b,q9c,q9d,q9e,q9f,q9g,q10,q11a,q11b,q11c,q11d,q12,q13a,q13b,q13c,q13d,q13e,q13f,q14,q15a,q15b,q15c,q15d,q15e,q15f,q16a,q16b,q17a,q17b,q17c,q17d,q18a,q18b,q18c,q18d,sex,age,marital,par,kidage1,educ2,emplnw,disa,party,partyln,ideo,hisp,race3m1,race3m2,race3m3,race3m4,birth_hisp,inc,hh1,hh3,zipcode,usr,cregion,state,weight,standwt
200288,2,30916,1,1, ,2,3,1,2,2,2, , , , , ,8, ,2,2,2, , , , , , , , , , , , , ,2,2,2,2,3,1,2,1,1,1,1,2,4,9,8,2,2,1,2,2, , , , ,5,1,1,3,2,3,3, , , , ,3,1,2, , , , , , , ,2, , , , ,2, , , , , , ,1,1,1,1,1,1,1,3,1,4,2, , ,2,8, , ,2,76,1,2, ,3,3,2,4,9,3,2,1, , , , ,2,2,2,61944,R,2,17,2.25,.742014423166052
200292,2,30916,1,2, ,2,3,1,2,1,1, , ,2, , ,1,2,1,2,1, , , , , ,2,2,2, , , , , ,2,2,2,2,2,1,2,2,1,1,1,2,2,2,1,2,6,1,2,1, ,1,5,5,5,1,1,2,3,1,3, ,4, ,2,3,2, , , , , , , , , , , , , ,2, , , ,2,2,2,1,1,1,1,1,1,1,3,1, , ,1,1, , ,2,1,2,67,1,2, ,4,3,2,3,8,2,2,1, , , , ,98,2,2,46714,S,2,18,2.625,.865683493693727
200293,2,32916,1,1, ,2,2,1,2,1,2,1,2, , , ,2,1,2,2,1,2,2,1,1,1, , , , , ,3,5,1,2,2,2,1,1,1,2,2,3,1,2,2,2,3,2,2,50,1,2,2, , , , ,4,1,2,3,1,1,3,2,2, ,1,3,1,2,1,2,2,2,2, , ,1,2,2, , ,2,1,1,1, , , ,1,2,2,2,2,2,1,2,1,1,2, , ,4,1, , ,2,32,6,2, ,6,1,2,4,2,3,2,1, , , , ,3,1, ,45440,S,2,39,3.625,1.19546768176753
200303,2,30916,1,1, ,2,4,1,1,1,1,2, , , , ,1,2,2,1,2,1,2,2,1,2, , , ,2, , , ,2,2,2,2,2,2,1,2,1,4,2,4,4,4,4,2,1,3,1,2,2, , , , ,5,3,5,3,2,3,3, , , , ,3,8, , , , , , , , ,2, , , , ,2, , , , , , ,1,2,2,2,8,2,1,2,2,1,2, , ,2,1, , ,1,36,1,2, ,4,1,2,3,1,1,2,1, , , , ,6,4,4,37813,S,3,47,4.90625,1.61800367273709
200309,2,30916,1,2, ,2,1,1,2,1,1, , ,2, , ,1,1,1,1,1, , , , , ,2,1,2, , , , , ,1,1,2,1,2,1,2,1,2,4,1,1,1,4,2,1,7,1,2,1,1,2,5,4,2,1,2,1,1,1,3,2,4, ,1,3,8, ,1,1,1, , ,1,1,2, , , , ,2, , , ,2,2,1,1,1,3,1,8,2,1,2,1, , ,2,1, , ,1,8,2,24,6,2, ,6,1,2,3,2,5,1,7, , , ,1,8,3,3,17109,S,1,42,2.3125,.762625934920664
200313,2,31516,1,2, ,2,2,1,2,1,1, , ,2, , ,1,2,1,1,1, , , , , ,1,1,2, , , , , ,2,2,2,2,2,2,2,2,4,1,4,1,1,4,2,1,97,1,1,1,1,1,5,4,1,1,4,3,1,1,1,2,3,3,1,3,1,2,1,2,2, , ,2,2,2, , , , ,2, , , ,1,2,1,1,1,1,2,1,1,1,1,1, , ,1,1, , ,2,2,2,66,1,2, ,6,1,2,1, ,4,2,1, , , , ,6,2,2,30215,S,3,13,2.28125,.752320179043358
200317,2,30916,1,1, ,2,1,8, ,1,1,1,8, , , ,8,1,1,2,1,2,1,8,1,2, , , , ,1, , ,1,1,1,8,1,3,8,2,8,2,3,3,2,2,3,2,3,5,1,2,1, ,8,4,5,3,4,5,1,2,3,3, , , , ,3,1,2, , , , , , , ,2, , , , ,2, , , , , , ,1,3,3,1,1,2,1,2,2,1,2, , ,1,3, , ,2,17,6,2, ,1,4,1,8,8,2,2,1, , , , ,6,4,3,30350,S,3,13,5.53125,1.82411879028321
200321,2,30916,1,2, ,2,8,3, ,2,2, , , , , ,2, ,2,2,2, , , , , , , , , , , , , ,2,2,2,1,2,2,2,2,2,1,3,4,4,4,1,2,0, , , , , , , ,5,5,5,2,2,3,3, , , , ,3,1,2, , , , , , , ,2, , , , ,2, , , , , , ,1,2,2,1,2,2,1,3,1, , ,1,1, , ,1,2,1,60,1,2, ,1,1,2,1, ,2,2,1, , , , ,6,2,2,44680,R,2,39,2.5,.824460470184502
200322,2,30916,1,1, ,2,3,1,1,1,1,1,2, , , ,1,2,1,1,1,1,1,2,1,1, , , ,6,6, ,5,1,2,1,2,2,2,1,2,2,2,1,3,3,1,4,2,1,5,1,2,1,5,4,5,5,1,1,1,4,1,3,1,3, ,4, ,1,1,1,1,2,1,2,1, , ,1,1,2, , ,2,2,1,1, , , ,1,1,1,1,2,4,1,1,1,2,3, , ,2,2, , ,1,42,1,1,0,8,1,2,3,9,3,1,1, , , ,1,8,3,2,32931,S,3,12,2.90625,.958435296589484
200324,2,30916,1,1, ,2,4,1,2,1,1,1,2, , , ,1,2,2,2,2,2,2,2,1,2, , , , , , , ,1,1,2,2,2,2,1,2,2,2,1,2,2,1,4,2,1,0, , , , , , , ,5,1,1,1,3,3,3, , , , ,3,1,2, , , , , , , , , , , , ,2, , , , , , ,1,1,2,2,2,2,1,2,2,2,2, , ,3,2, , ,1,43,1,1,1,3,8,2,3,2,5,2,1, , , , ,7,3,2,31032,S,3,13,4.25,1.40158279931365
